date,avoid_ambulance_mobilized_on_road
7:03:20,0.7077
7:03:30,0.7079
7:03:40,0.7082
7:03:50,0.7084
7:04:00,0.7086
7:04:10,0.7081
7:04:20,0.7077
7:04:30,0.7072
7:04:40,0.7074
7:04:50,0.7077
7:05:00,0.708
7:05:10,0.7082
7:05:20,0.7085
7:05:30,0.7088
7:05:40,0.709
7:05:50,0.7093
7:06:00,0.7095
7:06:10,0.7098
7:06:20,0.7093
7:06:30,0.7088
7:06:40,0.7091
7:06:50,0.7093
7:07:00,0.7096
7:07:10,0.7091
7:07:20,0.7086
7:07:30,0.7081
7:07:40,0.7076
7:07:50,0.7071
7:08:00,0.7067
7:08:10,0.7062
7:08:20,0.7057
7:08:30,0.7052
7:08:40,0.7047
7:08:50,0.7043
7:09:00,0.7038
7:09:10,0.7033
7:09:20,0.7028
7:09:30,0.7024
7:09:40,0.7019
7:09:50,0.7014
7:10:00,0.7009
7:10:10,0.7004
7:10:20,0.6993
7:10:30,0.6981
7:10:40,0.6984
7:10:50,0.6986
7:11:00,0.6989
7:11:10,0.6991
7:11:20,0.6994
7:11:30,0.6997
7:11:40,0.6999
7:11:50,0.7002
7:12:00,0.7004
7:12:10,0.7007
7:12:20,0.7009
7:12:30,0.7012
7:12:40,0.7015
7:12:50,0.7017
7:13:00,0.702
7:13:10,0.7022
7:13:20,0.7025
7:13:30,0.7027
7:13:40,0.7023
7:13:50,0.7018
7:14:00,0.7013
7:14:10,0.7009
7:14:20,0.7004
7:14:30,0.6992
7:14:40,0.698
7:14:50,0.6969
7:15:00,0.6957
7:15:10,0.6938
7:15:20,0.692
7:15:30,0.6901
7:15:40,0.689
7:15:50,0.6878
7:16:00,0.686
7:16:10,0.6842
7:16:20,0.6824
7:16:30,0.6806
7:16:40,0.6802
7:16:50,0.679
7:17:00,0.6779
7:17:10,0.6762
7:17:20,0.6745
7:17:30,0.6728
7:17:40,0.673
7:17:50,0.6733
7:18:00,0.6736
7:18:10,0.6738
7:18:20,0.674
7:18:30,0.6743
7:18:40,0.6745
7:18:50,0.6741
7:19:00,0.6736
7:19:10,0.6732
7:19:20,0.6729
7:19:30,0.6725
7:19:40,0.6727
7:19:50,0.673
7:20:00,0.6733
7:20:10,0.6735
7:20:20,0.6738
7:20:30,0.674
7:20:40,0.6743
7:20:50,0.6746
7:21:00,0.6748
7:21:10,0.6751
7:21:20,0.6753
7:21:30,0.6756
7:21:40,0.6759
7:21:50,0.6761
7:22:00,0.6764
7:22:10,0.6766
7:22:20,0.6769
7:22:30,0.6772
7:22:40,0.6774
7:22:50,0.6777
7:23:00,0.6779
7:23:10,0.6782
7:23:20,0.6784
7:23:30,0.678
7:23:40,0.6776
7:23:50,0.6772
7:24:00,0.6768
7:24:10,0.6764
7:24:20,0.676
7:24:30,0.6756
7:24:40,0.6752
7:24:50,0.6748
7:25:00,0.6744
7:25:10,0.6741
7:25:20,0.6737
7:25:30,0.6733
7:25:40,0.6736
7:25:50,0.6738
7:26:00,0.6741
7:26:10,0.6743
7:26:20,0.6746
7:26:30,0.6748
7:26:40,0.6748
7:26:50,0.6748
7:27:00,0.6748
7:27:10,0.6748
7:27:20,0.6748
7:27:30,0.6748
7:27:40,0.6748
7:27:50,0.6748
7:28:00,0.6748
7:28:10,0.6748
7:28:20,0.6748
7:28:30,0.6748
7:28:40,0.6748
7:28:50,0.6748
7:29:00,0.6748
7:29:10,0.6748
7:29:20,0.6748
7:29:30,0.6748
7:29:40,0.6748
7:29:50,0.6748
7:30:00,0.6748
7:30:10,0.6748
7:30:20,0.6748
7:30:30,0.6748
7:30:40,0.6748
7:30:50,0.6748
7:31:00,0.6748
7:31:10,0.6748
7:31:20,0.6748
7:31:30,0.6748
7:31:40,0.6748
7:31:50,0.6748
7:32:00,0.6748
7:32:10,0.6748
7:32:20,0.6748
7:32:30,0.6748
7:32:40,0.6748
7:32:50,0.6748
7:33:00,0.6748
7:33:10,0.6748
7:33:20,0.6748
7:33:30,0.6748
7:33:40,0.6748
7:33:50,0.6748
7:34:00,0.6748
7:34:10,0.6748
7:34:20,0.6748
7:34:30,0.6748
7:34:40,0.6748
7:34:50,0.6748
7:35:00,0.6748
7:35:10,0.6751
7:35:20,0.6753
7:35:30,0.6755
7:35:40,0.6752
7:35:50,0.6748
7:36:00,0.6744
7:36:10,0.674
7:36:20,0.6736
7:36:30,0.6732
7:36:40,0.6728
7:36:50,0.6724
7:37:00,0.672
7:37:10,0.6717
7:37:20,0.6713
7:37:30,0.6709
7:37:40,0.6705
7:37:50,0.6701
7:38:00,0.6697
7:38:10,0.6694
7:38:20,0.669
7:38:30,0.6686
7:38:40,0.6689
7:38:50,0.6692
7:39:00,0.6694
7:39:10,0.6696
7:39:20,0.6699
7:39:30,0.6701
7:39:40,0.6704
7:39:50,0.6706
7:40:00,0.6709
7:40:10,0.6711
7:40:20,0.6714
7:40:30,0.6716
7:40:40,0.6719
7:40:50,0.6721
7:41:00,0.6724
7:41:10,0.6726
7:41:20,0.6729
7:41:30,0.6731
7:41:40,0.6733
7:41:50,0.6736
7:42:00,0.6738
7:42:10,0.6741
7:42:20,0.6743
7:42:30,0.6745
7:42:40,0.6748
7:42:50,0.675
7:43:00,0.6746
7:43:10,0.6743
